publishedAt,title,tags,duration_in_seconds,viewCount,likeCount,Date of release ,# of days ,Views per day 
2016-06-08T15:30:00Z,This Is The Way | Kids Songs | Super Simple Songs,"['This Is The Way', 'Brush Your Teeth', 'Wash Your Face', 'toothbrush song', 'toothbrushing song', 'This is the way we', 'Super Simple Songs', 'supersimplesongs', 'Kids Songs', 'Songs for kids', 'nursery rhyme', 'nursery rhymes', 'kids videos', 'kids', 'puppets', 'puppet', 'this is the way (composition)']",139,2230545275,5127752,2016-06-08,"2,677",833226
2010-09-05T23:25:33Z,Twinkle Twinkle Little Star,"['Toddler Songs', 'nursery', 'BINGO', 'family', 'little star', 'rhymes', 'songs for kids', 'efl', 'Nursery rhymes', 'estrellita donde estas', 'baby', 'Twinkle Twinkle Little Star', 'kids', 'kindergarten', 'kids songs', 'Baby Songs', 'songs for children', 'preschool', 'supersimplesongs', 'Super Simple Songs', 'twinkle', 'Twinkle little star', 'songs for toddlers', 'Twinkle Twinkle']",154,2076801506,4288074,2010-09-05,"4,780",434477
2018-02-22T15:30:01Z,This Is The Way We Get Dressed | Kids Songs | Super Simple Songs,"['kids songs', 'this is the way', 'this is the way we get dressed', 'getting dressed song', 'getting dressed songs', 'getting dressed songs for kids', 'songs for kids', 'this is the way kids song', 'nursery rhymes', 'super simple songs', 'daily routine song for children', 'this is the way song', 'how to for kids', 'how to song', 'kids videos', 'songs for children', 'fun songs for kids', 'kindergarten', 'preschool songs', 'toddlers', 'songs for toddlers', 'preschoolers', 'for kids', 'videos for kids', 'songs for babies']",115,1954188587,5733816,2018-02-22,"2,053",951870
2016-09-15T14:00:01Z,Five Little Ducks | Kids Songs | Super Simple Songs,"['Nursery Rhymes', 'Kids Songs', 'Counting Song', 'Five Little Ducks', 'Super Simple Songs', 'songs for children', 'kids', 'preschool', 'children', 'children songs', 'kindergarten', 'nursery rhyme', 'nursery rhymes for children', 'kids rhymes', 'rhymes songs', 'children rhymes', 'Five Little Ducks Song', '5 Little Ducks', 'duck song', 'ducks song', 'quack', 'quack quack quack quack', 'baby ducks', 'ducklings', 'Five little ducks went out one day', 'family', 'toddlers', 'numbers', 'counting', 'count to 5', 'counting song', 'numbers song', 'five']",174,1552746006,3567243,2016-09-15,"2,578",602306
2013-11-22T13:30:00Z,If You're Happy | Super Simple Songs,"[""If you're angry"", 'Toddler songs', 'Emotions Song', 'Clap your hands', 'Preschool songs', 'Super Simple Songs', 'Toddlerific', 'www.supersimplelearning.com', 'Supersimplesongs', 'Toddler (Gender Or Age Specific Animal Name)', ""If you're happy"", 'nursery', 'Parenting', 'EFL song', 'rhymes', 'Kindergarten (Grade Level)', ""If You're Happy And You Know It (Composition)"", 'ESL song', 'Preschool (Grade Level)', 'Preschool']",124,958985097,1463941,2013-11-22,"3,606",265942
2019-01-24T15:30:00Z,If You’re Happy And You Know It | Kids Songs | Super Simple Songs,"[""if you're happy and you know it clap your hands"", ""if you're happy and you know it"", 'if you are happy song', 'if your happy', ""if you're happy song"", 'songs for kids', 'nursery rhymes', 'super simple songs', 'kids songs', 'circle time for preschool']",98,900805548,2013226,2019-01-24,"1,717",524639
2014-02-06T13:30:01Z,One Little Finger | featuring Noodle & Pals | Super Simple Songs,"['Super Simple Learning', 'ESL Song', 'Super Simple Songs', 'Preschool Song', 'Nursery Song', 'Kindergarten Song', 'www.supersimplelearning.com', 'Kids Song', 'Toddlerific', 'rhymes', ""Chidren's Song"", 'One Little Finger', 'Body Parts Song For Children', 'nursery']",145,830164899,1084969,2014-02-06,"3,530",235174
2016-04-13T15:30:03Z,Do You Like Lasagna Milkshakes? | Ice Cream and Lasagna!? | Super Simple Songs,"['parents', 'preschool', 'nursery', 'ice cream song', 'ice cream', '#nurseryrhymes', 'family', 'jelly', 'avocado', 'toddlers', '#childrensmusic', 'asparagus', 'lasagne', 'lasagna', 'rhymes', 'funny foods', 'peanut butter and jelly', 'children', 'peanut butter', 'cake', 'nursery rhyme', 'silly songs', 'lollipops', 'food song', 'kids', 'milkshakes', 'peanut butter jelly', ""children's music"", 'nursery rhymes']",162,819930587,1191951,2016-04-13,"2,733",300011
2014-11-12T13:30:03Z,Put On Your Shoes | Clothing Song for Kids,"['Shoe (Garment)', 'www.supersimplelearning.com', 'Autumn song', 'Preschool Teacher (Job Title)', 'getting dressed song', 'baby song', 'parenting', 'nursery', 'Kids Song', 'shoe song', 'nursery school', 'super simple songs', 'put on your shoes', 'rhymes', 'super simple learning', 'Clothing song for kids', 'Preschool (School Category)', 'toddler song', 'preschool', 'one two buckle my shoe', 'Pre-kindergarten (Grade Level)', 'toddlers', 'getting dressed', ""Children's song"", 'seasons song']",182,774120046,916699,2014-11-12,"3,251",238118
2013-10-09T17:50:15Z,Do You Like Broccoli Ice Cream? | Super Simple Songs,"['food song', 'preschool song', 'Kindergarten (Grade Level)', 'Broccoli Song', 'Toys', 'Ice Cream (Dish)', 'family', 'Super Simple Songs Playlist', 'nursery', 'www.supersimplelearning.com', 'uh-huh song', 'teachers', 'Do you like song', 'Broccoli Ice Cream', 'kindergarten song', 'toddlerific', 'rhymes', 'Do You Like Broccoli Ice Cream', 'English song for kids', 'moms', 'EFL song', 'Super Simple Songs', 'preschool', 'nursery song', 'food song for kids', 'ESL song', 'toddlers', 'supersimplesongs', 'Food', 'kids song']",163,769897868,1052977,2013-10-09,"3,650",210931
